# 现代汉语词典（第7版）-2016年
# 原始词条：70,101（合并后67,439）
#
# 字词	序号	完整字词	拼音

桠杈	59166	桠杈	yāchà
桠枝	59167	桠枝	yāzhī
鸭	59168	鸭（鴨）	yā
鸭步鹅行	59169	鸭步鹅行	yābù-éxíng
鸭蛋	59170	鸭蛋	yādàn
鸭蛋青	59171	鸭蛋青	yādànqīng
鸭蛋圆	59172	鸭蛋圆	yādànyuán
鸭黄	59173	鸭黄	yāhuáng
鸭梨	59174	鸭梨	yālí
鸭绒	59175	鸭绒	yāróng
鸭舌帽	59176	鸭舌帽	yāshémào
鸭子	59177	鸭子	yā·zi
鸭子儿	59178	鸭子儿	yāzǐr
鸭嘴笔	59179	鸭嘴笔	yāzuǐbǐ
鸭嘴兽	59180	鸭嘴兽	yāzuǐshòu
雅	59181	雅	yā
雅片	59182	雅片	yāpiàn
牙	59183	牙1	yá
牙	59184	牙2	yá
牙碜	59185	牙碜	yá·chen
牙齿	59186	牙齿	yáchǐ
牙床	59187	牙床1	yáchuáng
牙床	59188	牙床2	yáchuáng
牙雕	59189	牙雕	yádiāo
牙膏	59190	牙膏	yágāo
牙根	59191	牙根	yágēn
牙垢	59192	牙垢	yágòu
牙关	59193	牙关	yáguān
牙行	59194	牙行	yáháng
牙花	59195	牙花	yáhuā
牙具	59196	牙具	yájù
牙口	59197	牙口	yá·kou
牙侩	59198	牙侩	yákuài
牙轮	59199	牙轮	yálún
牙牌	59200	牙牌	yápái
牙婆	59201	牙婆	yápó
牙签	59202	牙签	yáqiān
牙色	59203	牙色	yásè
牙石	59204	牙石1	yáshí
牙石	59205	牙石2	yáshí
牙刷	59206	牙刷	yáshuā
牙线	59207	牙线	yáxiàn
牙牙	59208	牙牙	yáyá
牙牙学语	59209	牙牙学语	yáyá-xuéyǔ
牙医	59210	牙医	yáyī
牙龈	59211	牙龈	yáyín
牙獐	59212	牙獐	yázhāng
牙质	59213	牙质	yázhì
牙子	59214	牙子1	yá·zi
牙子	59215	牙子2	yá·zi
伢	59216	伢	yá
芽	59217	芽	yá
芽茶	59218	芽茶	yáchá
芽豆	59219	芽豆	yádòu
芽眼	59220	芽眼	yáyǎn
岈	59221	岈	yá
玡	59222	玡	yá
琊	59223	琊	yá
蚜	59224	蚜	yá
蚜虫	59225	蚜虫	yáchóng
堐	59226	堐	yá
崖	59227	崖（⁑厓、⁑崕）	yá（旧又读ái）
崖壁画	59228	崖壁画	yábìhuà
崖画	59229	崖画	yáhuà
崖刻	59230	崖刻	yákè
崖略	59231	崖略	yálüè
涯	59232	涯	yá
涯际	59233	涯际	yájì
睚	59234	睚	yá
睚眦	59235	睚眦	yázì
睚眦必报	59236	睚眦必报	yázì-bìbào
衙	59237	衙	yá
衙门	59238	衙门	yá·men
衙内	59239	衙内	yánèi
衙役	59240	衙役	yá·yi
疋	59241	疋	yǎ
哑	59242	哑（啞）	yǎ
哑巴	59243	哑巴	yǎ·ba
哑巴亏	59244	哑巴亏	yǎ·bakuī
哑场	59245	哑场	yǎ//chǎng
哑火	59246	哑火	yǎ//huǒ
哑剧	59247	哑剧	yǎjù
哑铃	59248	哑铃	yǎlíng
哑谜	59249	哑谜	yǎmí
哑炮	59250	哑炮	yǎpào
哑然	59251	哑然1	yǎrán
哑然	59252	哑然2	yǎrán（“哑”旧读è）
哑语	59253	哑语	yǎyǔ
哑子	59254	哑子	yǎ·zi
痖	59255	痖（瘂）	yǎ
雅	59256	雅1	yǎ
雅	59257	雅2	yǎ
雅观	59258	雅观	yǎguān
雅号	59259	雅号	yǎhào
雅间	59260	雅间	yǎjiān
雅教	59261	雅教	yǎjiào
雅静	59262	雅静	yǎjìng
雅量	59263	雅量	yǎliàng
雅皮士	59264	雅皮士	yǎpíshì
雅趣	59265	雅趣	yǎqù
雅人	59266	雅人	yǎrén
雅士	59267	雅士	yǎshì
雅思	59268	雅思	yǎsī
雅俗共赏	59269	雅俗共赏	yǎsú-gòngshǎng
雅兴	59270	雅兴	yǎxìng
雅驯	59271	雅驯	yǎxùn
雅言	59272	雅言	yǎyán
雅意	59273	雅意	yǎyì
雅正	59274	雅正	yǎzhèng
雅致	59275	雅致	yǎ·zhi
雅座	59276	雅座	yǎzuò
轧	59277	轧1（軋）	yà
轧	59278	轧2（軋）	yà
轧场	59279	轧场	yà//cháng
轧道车	59280	轧道车	yàdàochē
轧道机	59281	轧道机	yàdàojī
轧马路	59282	轧马路	yà mǎlù
亚	59283	亚1（亞）	yà
亚	59284	亚2（亞）	Yà
亚当	59285	亚当	Yàdāng
亚光	59286	亚光	yàguāng
亚健康	59287	亚健康	yàjiànkāng
亚军	59288	亚军	yàjūn
亚麻	59289	亚麻	yàmá
亚热带	59290	亚热带	yàrèdài
亚种	59291	亚种	yàzhǒng
压	59292	压（壓）	yà
压板	59293	压板	yàbǎn
压根儿	59294	压根儿	yàgēnr
讶	59295	讶（訝）	yà
讶异	59296	讶异	yàyì
迓	59297	迓	yà
挜	59298	挜（掗）	yà
砑	59299	砑	yà
娅	59300	娅（婭）	yà
氩	59301	氩（氬）	yà
揠	59302	揠	yà
揠苗助长	59303	揠苗助长	yàmiáo-zhùzhǎng
猰	59304	猰（⁑䝟）	yà
猰㺄	59305	猰㺄	yàyǔ
呀	59306	呀	·ya
咽	59307	咽	yān
咽喉	59308	咽喉	yānhóu
咽头	59309	咽头	yāntóu
恹	59310	恹（懨、⁑懕）	yān
恹恹	59311	恹恹	yānyān
殷	59312	殷	yān
殷红	59313	殷红	yānhóng
胭	59314	胭（⁎臙）	yān
胭红	59315	胭红	yānhóng
胭脂	59316	胭脂	yān·zhi
胭脂鱼	59317	胭脂鱼	yān·zhiyú
烟	59318	烟（⁎煙、④⁎菸）	yān
烟霭	59319	烟霭	yān’ǎi
烟波	59320	烟波	yānbō
烟草	59321	烟草	yāncǎo
烟尘	59322	烟尘	yānchén
烟囱	59323	烟囱	yāncōng
烟袋	59324	烟袋	yāndài
烟蒂	59325	烟蒂	yāndì
烟斗	59326	烟斗	yāndǒu
烟鬼	59327	烟鬼	yānguǐ
烟海	59328	烟海	yānhǎi
烟花	59329	烟花1	yānhuā
烟花	59330	烟花2	yānhuā
烟灰	59331	烟灰	yānhuī
烟火	59332	烟火	yānhuǒ
烟火	59333	烟火	yān·huo
烟火食	59334	烟火食	yānhuǒshí
烟具	59335	烟具	yānjù
烟卷儿	59336	烟卷儿	yānjuǎnr
烟煤	59337	烟煤	yānméi
烟民	59338	烟民	yānmín
烟幕	59339	烟幕	yānmù
烟幕弹	59340	烟幕弹	yānmùdàn
烟农	59341	烟农	yānnóng
烟屁股	59342	烟屁股	yānpì·gu
烟色	59343	烟色	yānsè
烟丝	59344	烟丝	yānsī
烟筒	59345	烟筒	yān·tong
烟头	59346	烟头	yāntóu
烟土	59347	烟土	yāntǔ
烟雾	59348	烟雾	yānwù
烟霞	59349	烟霞	yānxiá
烟霞癖	59350	烟霞癖	yānxiápǐ
烟消云散	59351	烟消云散	yānxiāo-yúnsàn
烟叶	59352	烟叶	yānyè
烟瘾	59353	烟瘾	yānyǐn
烟雨	59354	烟雨	yānyǔ
烟云	59355	烟云	yānyún
烟柱	59356	烟柱	yānzhù
烟子	59357	烟子	yān·zi
烟嘴儿	59358	烟嘴儿	yānzuǐr
焉	59359	焉	yān
崦	59360	崦	yān
崦嵫	59361	崦嵫	Yānzī
阉	59362	阉（閹）	yān
阉割	59363	阉割	yāngē
阉人	59364	阉人	yānrén
阏	59365	阏（閼）	yān
阏氏	59366	阏氏	yānzhī
淹	59367	淹（①⁑淊）	yān
淹博	59368	淹博	yānbó
淹留	59369	淹留	yānliú
淹埋	59370	淹埋	yānmái
淹没	59371	淹没	yānmò
腌	59372	腌（⁎醃）	yān
腌渍	59373	腌渍	yānzì
湮	59374	湮	yān
湮灭	59375	湮灭	yānmiè
湮没	59376	湮没	yānmò
鄢	59377	鄢	yān
墕	59378	墕	yān
漹	59379	漹	yān
嫣	59380	嫣	yān
嫣红	59381	嫣红	yānhóng
嫣然	59382	嫣然	yānrán
燕	59383	燕	Yān
延	59384	延	yán
延长	59385	延长	yáncháng
延长米	59386	延长米	yánchángmǐ
延迟	59387	延迟	yánchí
延宕	59388	延宕	yándàng
延搁	59389	延搁	yángē
延后	59390	延后	yánhòu
延缓	59391	延缓	yánhuǎn
延颈企踵	59392	延颈企踵	yánjǐng-qǐzhǒng
延揽	59393	延揽	yánlǎn
延米	59394	延米	yánmǐ
延绵	59395	延绵	yánmián
延纳	59396	延纳	yánnà
延年益寿	59397	延年益寿	yánnián-yìshòu
延聘	59398	延聘	yánpìn
延期	59399	延期	yán//qī
延请	59400	延请	yánqǐng
延烧	59401	延烧	yánshāo
延伸	59402	延伸	yánshēn
延髓	59403	延髓	yánsuǐ
延误	59404	延误	yánwù
延性	59405	延性	yánxìng
延续	59406	延续	yánxù
延展	59407	延展	yánzhǎn
延展性	59408	延展性	yánzhǎnxìng
闫	59409	闫（閆）	Yán
芫	59410	芫	yán
芫荽	59411	芫荽	yán·suī
严	59412	严（嚴）	yán
严办	59413	严办	yánbàn
严惩	59414	严惩	yánchéng
严词	59415	严词	yáncí
严打	59416	严打	yándǎ
严冬	59417	严冬	yándōng
严防	59418	严防	yánfáng
严格	59419	严格	yángé
严寒	59420	严寒	yánhán
严紧	59421	严紧	yán·jǐn
严谨	59422	严谨	yánjǐn
严禁	59423	严禁	yánjìn
严峻	59424	严峻	yánjùn
严苛	59425	严苛	yánkē
严酷	59426	严酷	yánkù
严厉	59427	严厉	yánlì
严令	59428	严令	yánlìng
严密	59429	严密	yánmì
严明	59430	严明	yánmíng
严命	59431	严命	yánmìng
严师	59432	严师	yánshī
严实	59433	严实	yán·shi
严守	59434	严守	yánshǒu
严丝合缝	59435	严丝合缝	yánsī-héfèng
严肃	59436	严肃	yánsù
严刑	59437	严刑	yánxíng
严阵以待	59438	严阵以待	yánzhènyǐdài
严整	59439	严整	yánzhěng
严正	59440	严正	yánzhèng
严重	59441	严重	yánzhòng
言	59442	言	yán
言必有中	59443	言必有中	yánbìyǒuzhòng
言不及义	59444	言不及义	yánbùjíyì
言不尽意	59445	言不尽意	yánbùjìnyì
言不由衷	59446	言不由衷	yánbùyóuzhōng
言出法随	59447	言出法随	yánchū-fǎsuí
言传	59448	言传	yánchuán
言传身教	59449	言传身教	yánchuán-shēnjiào
言词	59450	言词	yáncí
言辞	59451	言辞	yáncí
言多语失	59452	言多语失	yánduō-yǔshī
言归于好	59453	言归于好	yánguīyúhǎo
言归正传	59454	言归正传	yánguīzhèngzhuàn
言过其实	59455	言过其实	yánguòqíshí
言和	59456	言和	yánhé
言欢	59457	言欢	yánhuān
言简意赅	59458	言简意赅	yánjiǎn-yìgāi
言教	59459	言教	yánjiào
言近旨远	59460	言近旨远	yánjìn-zhǐyuǎn
言路	59461	言路	yánlù
言论	59462	言论	yánlùn
言情	59463	言情	yánqíng
言人人殊	59464	言人人殊	yánrénrénshū
言声儿	59465	言声儿	yán//shēngr
言说	59466	言说	yánshuō
言谈	59467	言谈	yántán
言听计从	59468	言听计从	yántīng-jìcóng
言外之意	59469	言外之意	yánwàizhīyì
言为心声	59470	言为心声	yánwéixīnshēng
言笑	59471	言笑	yánxiào
言行	59472	言行	yánxíng
言犹在耳	59473	言犹在耳	yányóuzài’ěr
言语	59474	言语	yányǔ
言语	59475	言语	yán·yu
言喻	59476	言喻	yányù
言者无罪，闻者足戒	59477	言者无罪，闻者足戒	yánzhě-wúzuì，wénzhě-zújiè
言之无物	59478	言之无物	yánzhī-wúwù
言之凿凿	59479	言之凿凿	yánzhī-záozáo
言中	59480	言中	yánzhòng
言重	59481	言重	yánzhòng
言状	59482	言状	yánzhuàng
阽	59483	阽	yán
妍	59484	妍	yán
妍媸	59485	妍媸	yánchī
岩	59486	岩（①-③⁎巗、①-③⁎巖、①-③⁎嵒）	yán
岩层	59487	岩层	yáncéng
岩洞	59488	岩洞	yándòng
岩画	59489	岩画	yánhuà
岩浆	59490	岩浆	yánjiāng
岩漠	59491	岩漠	yánmò
岩溶	59492	岩溶	yánróng
岩石	59493	岩石	yánshí
岩芯	59494	岩芯	yánxīn
岩盐	59495	岩盐	yányán
岩羊	59496	岩羊	yányáng
炎	59497	炎	yán
炎帝	59498	炎帝	Yándì
炎黄	59499	炎黄	Yán-Huáng
炎凉	59500	炎凉	yánliáng
炎热	59501	炎热	yánrè
炎暑	59502	炎暑	yánshǔ
炎夏	59503	炎夏	yánxià
炎炎	59504	炎炎	yányán
炎症	59505	炎症	yánzhèng
沿	59506	沿（⁑㳂）	yán
沿岸	59507	沿岸	yán’àn
沿边儿	59508	沿边儿	yán//biānr
沿革	59509	沿革	yángé
沿海	59510	沿海	yánhǎi
沿江	59511	沿江	yánjiāng
沿街	59512	沿街	yánjiē
沿例	59513	沿例	yánlì
沿路	59514	沿路	yánlù
沿条儿	59515	沿条儿	yántiáor
沿途	59516	沿途	yántú
沿袭	59517	沿袭	yánxí
沿线	59518	沿线	yánxiàn
沿用	59519	沿用	yányòng
研	59520	研	yán
研读	59521	研读	yándú
研发	59522	研发	yánfā
研究	59523	研究	yánjiū
研究生	59524	研究生	yánjiūshēng
研究员	59525	研究员	yánjiūyuán
研磨	59526	研磨	yánmó
研判	59527	研判	yánpàn
研讨	59528	研讨	yántǎo
研习	59529	研习	yánxí
研修	59530	研修	yánxiū
研制	59531	研制	yánzhì
𫄧	59532	𫄧（綖）	yán
盐	59533	盐（鹽）	yán
盐巴	59534	盐巴	yánbā
盐场	59535	盐场	yánchǎng
盐池	59536	盐池	yánchí
盐分	59537	盐分	yánfèn
盐湖	59538	盐湖	yánhú
盐花	59539	盐花	yánhuā
盐碱地	59540	盐碱地	yánjiǎndì
盐井	59541	盐井	yánjǐng
盐卤	59542	盐卤	yánlǔ
盐汽水	59543	盐汽水	yánqìshuǐ
盐霜	59544	盐霜	yánshuāng
盐酸	59545	盐酸	yánsuān
盐滩	59546	盐滩	yántān
盐田	59547	盐田	yántián
盐土	59548	盐土	yántǔ
盐坨子	59549	盐坨子	yántuó·zi
盐枭	59550	盐枭	yánxiāo
铅	59551	铅（鉛）	yán
阎	59552	阎（閻）	yán
阎罗	59553	阎罗	Yánluó
阎罗王	59554	阎罗王	Yánluówáng
阎王	59555	阎王	Yán·wang
阎王爷	59556	阎王爷	Yán·wangyé
阎王债	59557	阎王债	yán·wangzhài
阎王账	59558	阎王账	yán·wangzhàng
蜒	59559	蜒	yán
蜒蚰	59560	蜒蚰	yányóu
筵	59561	筵	yán
筵席	59562	筵席	yánxí
揅	59563	揅	yán
颜	59564	颜（顔）	yán
颜料	59565	颜料	yánliào
颜面	59566	颜面	yánmiàn
颜容	59567	颜容	yánróng
颜色	59568	颜色	yánsè
颜色	59569	颜色	yán·shai
颜体	59570	颜体	yántǐ
颜值	59571	颜值	yánzhí
虤	59572	虤	yán
檐	59573	檐（⁎簷）	yán
檐沟	59574	檐沟	yángōu
檐口	59575	檐口	yánkǒu
檐子	59576	檐子	yán·zi
沇	59577	沇	yǎn
奄	59578	奄	yǎn
奄忽	59579	奄忽	yǎnhū
奄然	59580	奄然	yǎnrán
奄奄	59581	奄奄	yǎnyǎn
兖	59582	兖	Yǎn
䶮	59583	䶮（龑）	yǎn
俨	59584	俨（儼）	yǎn
俨然	59585	俨然	yǎnrán
俨如	59586	俨如	yǎnrú
衍	59587	衍1	yǎn
衍	59588	衍2	yǎn
衍变	59589	衍变	yǎnbiàn
衍化	59590	衍化	yǎnhuà
衍射	59591	衍射	yǎnshè
衍生	59592	衍生	yǎnshēng
衍生物	59593	衍生物	yǎnshēngwù
衍文	59594	衍文	yǎnwén
弇	59595	弇	yǎn
弇陋	59596	弇陋	yǎnlòu
剡	59597	剡	yǎn
掩	59598	掩（⁑揜）	yǎn
掩鼻	59599	掩鼻	yǎnbí
掩蔽	59600	掩蔽	yǎnbì
掩蔽部	59601	掩蔽部	yǎnbìbù
掩藏	59602	掩藏	yǎncáng
掩耳盗铃	59603	掩耳盗铃	yǎn’ěr-dàolíng
掩盖	59604	掩盖	yǎngài
掩护	59605	掩护	yǎnhù
掩埋	59606	掩埋	yǎnmái
掩泣	59607	掩泣	yǎnqì
掩人耳目	59608	掩人耳目	yǎnrén’ěrmù
掩杀	59609	掩杀	yǎnshā
掩饰	59610	掩饰	yǎnshì
掩体	59611	掩体	yǎntǐ
掩眼法	59612	掩眼法	yǎnyǎnfǎ
掩隐	59613	掩隐	yǎnyǐn
掩映	59614	掩映	yǎnyìng
郾	59615	郾	yǎn
厣	59616	厣（厴）	yǎn
眼	59617	眼	yǎn
眼巴巴	59618	眼巴巴	yǎnbābā
眼白	59619	眼白	yǎnbái
眼波	59620	眼波	yǎnbō
眼岔	59621	眼岔	yǎnchà
眼馋	59622	眼馋	yǎnchán
眼眵	59623	眼眵	yǎnchī
眼袋	59624	眼袋	yǎndài
眼底	59625	眼底	yǎndǐ
眼底下	59626	眼底下	yǎndǐ·xià
眼毒	59627	眼毒	yǎn//dú
眼风	59628	眼风	yǎnfēng
眼福	59629	眼福	yǎnfú
眼高手低	59630	眼高手低	yǎngāo-shǒudī
眼光	59631	眼光	yǎnguāng
眼红	59632	眼红	yǎnhóng
眼花	59633	眼花	yǎn//huā
眼花缭乱	59634	眼花缭乱	yǎnhuā-liáoluàn
眼犄角儿	59635	眼犄角儿	yǎnjījiǎor
眼疾手快	59636	眼疾手快	yǎnjí-shǒukuài
眼尖	59637	眼尖	yǎn//jiān
眼睑	59638	眼睑	yǎnjiǎn
眼见	59639	眼见	yǎnjiàn
眼角	59640	眼角	yǎnjiǎo
眼界	59641	眼界	yǎnjiè
眼睛	59642	眼睛	yǎn·jing
眼镜	59643	眼镜	yǎnjìng
眼镜蛇	59644	眼镜蛇	yǎnjìngshé
眼看	59645	眼看	yǎnkàn
眼眶	59646	眼眶	yǎnkuàng
眼泪	59647	眼泪	yǎnlèi
眼力	59648	眼力	yǎnlì
眼力见儿	59649	眼力见儿	yǎnlìjiànr
眼帘	59650	眼帘	yǎnlián
眼眉	59651	眼眉	yǎnméi
眼面前	59652	眼面前	yǎn·miànqián
眼明手快	59653	眼明手快	yǎnmíng-shǒukuài
眼目	59654	眼目	yǎnmù
眼泡	59655	眼泡	yǎnpāo
眼皮	59656	眼皮	yǎnpí
眼皮底下	59657	眼皮底下	yǎnpí dǐ·xia
眼皮子	59658	眼皮子	yǎnpí·zi
眼气	59659	眼气	yǎnqì
眼前	59660	眼前	yǎnqián
眼前亏	59661	眼前亏	yǎnqiánkuī
眼浅	59662	眼浅	yǎnqiǎn
眼球	59663	眼球	yǎnqiú
眼圈	59664	眼圈	yǎnquān
眼热	59665	眼热	yǎnrè
眼色	59666	眼色	yǎnsè
眼神	59667	眼神	yǎnshén
眼生	59668	眼生	yǎnshēng
眼屎	59669	眼屎	yǎnshǐ
眼熟	59670	眼熟	yǎnshú
眼跳	59671	眼跳	yǎntiào
眼窝	59672	眼窝	yǎnwō
眼下	59673	眼下	yǎnxià
眼线	59674	眼线1	yǎnxiàn
眼线	59675	眼线2	yǎnxiàn
眼压	59676	眼压	yǎnyā
眼影	59677	眼影	yǎnyǐng
眼晕	59678	眼晕	yǎnyùn
眼罩儿	59679	眼罩儿	yǎnzhàor
眼睁睁	59680	眼睁睁	yǎnzhēngzhēng
眼中钉	59681	眼中钉	yǎnzhōngdīng
眼珠	59682	眼珠	yǎnzhū
眼珠子	59683	眼珠子	yǎnzhū·zi
眼拙	59684	眼拙	yǎnzhuō
偃	59685	偃	yǎn
偃旗息鼓	59686	偃旗息鼓	yǎnqí-xīgǔ
偃武修文	59687	偃武修文	yǎnwǔ-xiūwén
琰	59688	琰	yǎn
棪	59689	棪	yǎn
晻	59690	晻	yǎn
渰	59691	渰	yǎn
扊	59692	扊	yǎn
扊扅	59693	扊扅	yǎnyí
罨	59694	罨	yǎn
𬸘	59695	𬸘（鶠）	yǎn
演	59696	演	yǎn
演变	59697	演变	yǎnbiàn
演播	59698	演播	yǎnbō
演唱	59699	演唱	yǎnchàng
演出	59700	演出	yǎnchū
演化	59701	演化	yǎnhuà
演技	59702	演技	yǎnjì
演讲	59703	演讲	yǎnjiǎng
演进	59704	演进	yǎnjìn
演练	59705	演练	yǎnliàn
演示	59706	演示	yǎnshì
演说	59707	演说	yǎnshuō
演算	59708	演算	yǎnsuàn
演武	59709	演武	yǎnwǔ
演习	59710	演习	yǎnxí
演戏	59711	演戏	yǎn//xì
演义	59712	演义	yǎnyì
演艺	59713	演艺	yǎnyì
演绎	59714	演绎	yǎnyì
演员	59715	演员	yǎnyuán
演奏	59716	演奏	yǎnzòu
𬙂	59717	𬙂（縯）	yǎn
魇	59718	魇（魘）	yǎn
蝘	59719	蝘	yǎn
戭	59720	戭	yǎn
𪩘	59721	𪩘（巘）	yǎn
黡	59722	黡（黶）	yǎn
甗	59723	甗	yǎn
鼹	59724	鼹（⁎鼴）	yǎn
鼹鼠	59725	鼹鼠	yǎnshǔ
厌	59726	厌（厭）	yàn
厌烦	59727	厌烦	yànfán
厌恨	59728	厌恨	yànhèn
厌倦	59729	厌倦	yànjuàn
厌弃	59730	厌弃	yànqì
厌食	59731	厌食	yànshí
厌世	59732	厌世	yànshì
厌恶	59733	厌恶	yànwù
厌学	59734	厌学	yànxué
厌战	59735	厌战	yànzhàn
觃	59736	觃（覎）	yàn
研	59737	研	yàn
砚	59738	砚（硯）	yàn
砚池	59739	砚池	yànchí
砚滴	59740	砚滴	yàndī
砚台	59741	砚台	yàn·tai
咽	59742	咽（⁎嚥）	yàn
咽气	59743	咽气	yàn//qì
彦	59744	彦	yàn
艳	59745	艳（艷、⁎豓、⁎豔）	yàn
艳福	59746	艳福	yànfú
艳丽	59747	艳丽	yànlì
艳情	59748	艳情	yànqíng
艳诗	59749	艳诗	yànshī
艳史	59750	艳史	yànshǐ
艳俗	59751	艳俗	yànsú
艳羡	59752	艳羡	yànxiàn
艳阳	59753	艳阳	yànyáng
艳阳天	59754	艳阳天	yànyángtiān
艳遇	59755	艳遇	yànyù
晏	59756	晏	yàn
晏驾	59757	晏驾	yànjià
唁	59758	唁	yàn
唁电	59759	唁电	yàndiàn
唁函	59760	唁函	yànhán
烻	59761	烻	yàn
宴	59762	宴（①②⁎醼、⁎讌）	yàn
宴安鸩毒	59763	宴安鸩毒	yàn’ān-zhèndú
宴尔	59764	宴尔	yàn’ěr
宴会	59765	宴会	yànhuì
宴请	59766	宴请	yànqǐng
宴席	59767	宴席	yànxí
验	59768	验（驗、⁎騐）	yàn
验查	59769	验查	yànchá
验钞机	59770	验钞机	yànchāojī
验车	59771	验车	yàn//chē
验秤	59772	验秤	yàn//chèng
验方	59773	验方	yànfāng
验关	59774	验关	yàn//guān
验光	59775	验光	yàn//guāng
验看	59776	验看	yànkàn
验尿	59777	验尿	yàn//niào
验尸	59778	验尸	yàn//shī
验收	59779	验收	yànshōu
验算	59780	验算	yànsuàn
验血	59781	验血	yàn//xiě
验证	59782	验证	yànzhèng
验资	59783	验资	yànzī
谚	59784	谚（諺）	yàn
谚语	59785	谚语	yànyǔ
堰	59786	堰	yàn
堰塞湖	59787	堰塞湖	yànsèhú
雁	59788	雁（⁎鴈）	yàn
雁过拔毛	59789	雁过拔毛	yànguò-bámáo
雁行	59790	雁行	yànháng
雁阵	59791	雁阵	yànzhèn
喭	59792	喭	yàn
焰	59793	焰（⁎燄）	yàn
焰火	59794	焰火	yànhuǒ
焰口	59795	焰口	yàn·kou
焱	59796	焱	yàn
滟	59797	滟（灧）	yàn
墕	59798	墕	yàn
酽	59799	酽（釅）	yàn
餍	59800	餍（饜）	yàn
餍足	59801	餍足	yànzú
𮭨	59802	𮭨（鷃、⁑鴳）	yàn
𮭨雀	59803	𮭨雀	yànquè
𰟘	59804	𰟘（爓）	yàn
谳	59805	谳（讞）	yàn
燕	59806	燕1（⁎鷰）	yàn
燕	59807	燕2	yàn
燕尔	59808	燕尔	yàn’ěr
燕鸻	59809	燕鸻	yànhéng
燕麦	59810	燕麦	yànmài
燕雀	59811	燕雀	yànquè
燕尾服	59812	燕尾服	yànwěifú
燕窝	59813	燕窝	yànwō
燕子	59814	燕子	yàn·zi
赝	59815	赝（贋、⁎贗）	yàn
赝本	59816	赝本	yànběn
赝币	59817	赝币	yànbì
赝鼎	59818	赝鼎	yàndǐng
赝品	59819	赝品	yànpǐn
嬿	59820	嬿	yàn
央	59821	央1	yāng
央	59822	央2	yāng
央	59823	央3	yāng
央告	59824	央告	yāng·gao
央行	59825	央行	yāngháng
央求	59826	央求	yāngqiú
央托	59827	央托	yāngtuō
咉	59828	咉	yāng
泱	59829	泱	yāng
泱泱	59830	泱泱	yāngyāng
殃	59831	殃	yāng
殃及池鱼	59832	殃及池鱼	yāngjí-chíyú
鸯	59833	鸯（鴦）	yāng
秧	59834	秧	yāng
秧歌	59835	秧歌	yāng·ge
秧歌剧	59836	秧歌剧	yāng·gejù
秧龄	59837	秧龄	yānglíng
秧苗	59838	秧苗	yāngmiáo
秧田	59839	秧田	yāngtián
秧子	59840	秧子	yāng·zi
鞅	59841	鞅	yāng（旧读yǎng）
扬	59842	扬1（揚、②△⁎颺、⁎敭）	yáng
扬	59843	扬2（揚）	Yáng
扬长	59844	扬长	yángcháng
扬长避短	59845	扬长避短	yángcháng-bìduǎn
扬场	59846	扬场	yáng//cháng
扬尘	59847	扬尘	yángchén
扬程	59848	扬程	yángchéng
扬帆	59849	扬帆	yáng//fān
扬幡招魂	59850	扬幡招魂	yángfān-zhāohún
扬花	59851	扬花	yánghuā
扬剧	59852	扬剧	yángjù
扬厉	59853	扬厉	yánglì
扬眉吐气	59854	扬眉吐气	yángméi-tǔqì
扬名	59855	扬名	yáng//míng
扬旗	59856	扬旗	yángqí
扬弃	59857	扬弃	yángqì
扬琴	59858	扬琴（洋琴）	yángqín
扬清激浊	59859	扬清激浊	yángqīng-jīzhuó
扬榷	59860	扬榷	yángquè
扬沙	59861	扬沙	yángshā
扬升	59862	扬升	yángshēng
扬声器	59863	扬声器	yángshēngqì
扬水	59864	扬水	yángshuǐ
扬汤止沸	59865	扬汤止沸	yángtāng-zhǐfèi
扬威	59866	扬威	yángwēi
扬言	59867	扬言	yángyán
扬扬	59868	扬扬	yángyáng
扬州菜	59869	扬州菜	yángzhōucài
扬子鳄	59870	扬子鳄	yángzǐ’è
羊	59871	羊	yáng
羊肠线	59872	羊肠线	yángchángxiàn
羊肠小道	59873	羊肠小道	yángcháng xiǎodào
羊肚儿手巾	59874	羊肚儿手巾	yángdǔr shǒu·jin
羊羔	59875	羊羔	yánggāo
羊羹	59876	羊羹	yánggēng
羊倌	59877	羊倌	yángguān
羊毫	59878	羊毫	yángháo
羊角风	59879	羊角风	yángjiǎofēng
羊毛	59880	羊毛	yángmáo
羊毛出在羊身上	59881	羊毛出在羊身上	yángmáo chū zài yáng shēn·shang
羊膜	59882	羊膜	yángmó
羊绒	59883	羊绒	yángróng
羊水	59884	羊水	yángshuǐ
羊桃	59885	羊桃	yángtáo
羊痫风	59886	羊痫风	yángxiánfēng
羊蝎子	59887	羊蝎子	yángxiē·zi
羊杂	59888	羊杂	yángzá
阳	59889	阳（陽）	yáng
阳春	59890	阳春	yángchūn
阳春白雪	59891	阳春白雪	yángchūn-báixuě
阳电	59892	阳电	yángdiàn
阳奉阴违	59893	阳奉阴违	yángfèng-yīnwéi
阳刚	59894	阳刚	yánggāng
阳沟	59895	阳沟	yánggōu
阳关大道	59896	阳关大道	yángguān dàdào
阳关道	59897	阳关道	yángguāndào
阳光	59898	阳光	yángguāng
阳极	59899	阳极	yángjí
阳间	59900	阳间	yángjiān
阳具	59901	阳具	yángjù
阳刻	59902	阳刻	yángkè
阳狂	59903	阳狂	yángkuáng
